Length	GC	MaxEnt5	MaxEnt3	Group
6346	0.38559722659943274	7.62	3.17	Constitutive
205	0.3463414634146341	9.31	11.39	Constitutive
6897	0.4238074525155865	9.8	11.97	Constitutive
3899	0.3293152090279559	10.24	9.68	Constitutive
38343	0.3570925592676629	6.93	11.97	Constitutive
706	0.6005665722379604	7.8	10.16	Constitutive
112	0.6607142857142857	7.23	10.7	Constitutive
4446	0.36774628879892035	10.86	9.13	Constitutive
8850	0.38813559322033897	10.86	11.56	Constitutive
3215	0.40715396578538104	9.79	8.58	Constitutive
386	0.533678756476684	10.49	-4.92	Constitutive
1077	0.4168987929433612	7.88	5.13	Constitutive
138	0.5797101449275363	7.43	5.83	Constitutive
1150	0.5130434782608696	10.06	7.09	Constitutive
88	0.625	10.49	5.12	Constitutive
435	0.27586206896551724	8.35	4.95	Constitutive
568	0.5862676056338029	11.45	10.06	Constitutive
2042	0.3702252693437806	8.34	4.41	Constitutive
9538	0.4403438876074649	10.45	5.27	Constitutive
2338	0.3669803250641574	10.28	8.23	Constitutive
1139	0.3257243195785777	5.56	9.88	Constitutive
1304	0.37423312883435583	11.08	9.08	Constitutive
432	0.44675925925925924	5.97	8.93	Constitutive
2101	0.3888624464540695	8.54	5.53	Constitutive
10212	0.563650607128868	7.23	8.73	Constitutive
271	0.6826568265682657	8.46	9.43	Constitutive
1228	0.5325732899022801	8.19	4.91	Constitutive
542	0.2859778597785978	9.82	8.96	Constitutive
712	0.5252808988764045	8.98	12.14	Constitutive
278	0.4028776978417266	9.14	9.4	Constitutive
734	0.4100817438692098	8.4	9.22	Constitutive
354	0.2542372881355932	9.25	6.41	Constitutive
354	0.3474576271186441	9.99	6.12	Constitutive
768	0.3541666666666667	9.88	8.69	Constitutive
194	0.5773195876288659	9.79	7.78	Constitutive
6254	0.4726574992005117	6.36	9.32	Constitutive
15470	0.5290239172592114	9.46	10.35	Constitutive
1401	0.5753033547466095	9.6	10.07	Constitutive
792	0.4595959595959596	10.57	13.41	Constitutive
2375	0.4530526315789474	7.1	12.07	Constitutive
3290	0.46322188449848023	7.81	10.22	Constitutive
16181	0.5725851307088561	9.63	11.3	Constitutive
2790	0.5157706093189964	5.63	7.16	Constitutive
307	0.3257328990228013	3.41	7.04	Constitutive
506	0.5454545454545454	6.35	7.25	Constitutive
10646	0.4460830358820214	8.55	7.38	Constitutive
93	0.4946236559139785	10.22	6.19	Constitutive
3115	0.40224719101123596	7.39	8.5	Constitutive
1128	0.36613475177304966	9.16	10.98	Constitutive
15602	0.5346750416613255	6.9	9.92	Constitutive
598	0.3963210702341137	8.68	7.85	Constitutive
2585	0.35938104448742747	8.85	11.3	Constitutive
10364	0.39328444615978386	8.76	8.39	Constitutive
1353	0.4722838137472284	10.19	11.21	Constitutive
851	0.5311398354876615	4.48	8.07	Constitutive
4843	0.6339046045839356	9.6	10.26	Constitutive
681	0.4390602055800294	8.17	9.16	Constitutive
27813	0.3474274619782116	7.26	10.96	Constitutive
3614	0.3746541228555617	8.76	11.47	Constitutive
78	0.7435897435897436	7.93	4.69	Constitutive
61513	0.3583145026254613	8.85	12.4	Constitutive
457	0.5076586433260394	7.88	6.68	Constitutive
17485	0.4328853302830998	8.05	6.67	Constitutive
2552	0.5054858934169278	8.68	6.46	Constitutive
1470	0.3510204081632653	5.39	4.45	Constitutive
5355	0.48179271708683474	8.77	10.47	Constitutive
27532	0.3459247421182624	9.8	9.27	Constitutive
15964	0.4488223502881483	8.23	10.8	Constitutive
2205	0.5038548752834467	9.99	13.4	Constitutive
489	0.5787321063394683	9.1	7.5	Constitutive
182	0.6593406593406593	11.08	12.44	Constitutive
1347	0.495916852264291	5.56	11.55	Constitutive
1209	0.5492142266335814	7.84	5.49	Constitutive
200	0.39	9.46	9.06	Constitutive
124	0.31451612903225806	9.72	8.85	Constitutive
343	0.5335276967930029	9.14	8.67	Constitutive
152	0.5131578947368421	10.86	8.91	Constitutive
2284	0.43476357267950966	10.57	9.49	Constitutive
1646	0.4513973268529769	8.66	8.75	Constitutive
1481	0.43214044564483456	7.77	10.39	Constitutive
456	0.3333333333333333	7.45	6.47	Constitutive
103	0.5631067961165048	10.47	11.98	Constitutive
3764	0.51009564293305	8.82	0.72	Constitutive
441	0.5170068027210885	9.45	11.1	Constitutive
20474	0.41096024225847416	10.07	11.22	Constitutive
21900	0.4047488584474886	10.57	9.12	Constitutive
13327	0.44931342387634127	8.16	12.6	Constitutive
97300	0.4016546762589928	9.65	13.3	Constitutive
1246	0.543338683788122	8.08	11.76	Constitutive
336	0.6279761904761905	7.47	9.21	Constitutive
10407	0.3757086576342846	10.77	10.73	Constitutive
95	0.6736842105263158	7.61	1.45	Constitutive
2136	0.398876404494382	7.64	11.34	Constitutive
215	0.2651162790697674	0.23	5.63	Constitutive
3338	0.481725584182145	8.54	8.9	Constitutive
859	0.5587892898719441	9.27	7.77	Constitutive
84	0.5476190476190477	9.01	4.52	Constitutive
668	0.5449101796407185	4.83	6.65	Constitutive
3004	0.40579227696404796	9.49	8.5	Constitutive
1998	0.42992992992992995	8.01	10.31	Constitutive
204	0.47549019607843135	6.52	8.74	Constitutive
1544	0.5278497409326425	8.24	7.03	Constitutive
442	0.6470588235294118	10.1	8.91	Constitutive
6045	0.3242349048800662	9.43	-3.8	Constitutive
819	0.6263736263736264	8.41	10.06	Constitutive
1728	0.45775462962962965	8.68	11.2	Constitutive
3024	0.35912698412698413	5.69	8.73	Constitutive
780	0.4217948717948718	10.08	-7.4	Constitutive
62609	0.39262725806194	9.67	7.69	Constitutive
