goID	Pvalue	FoldEnrch	test_count	bkgd_count	expected
GO:0005525	0.73149	0.7795945945945946	2	148	2.565435950771364
GO:0007165	0.17684	1.817007874015748	4	127	2.201421390188941
GO:0003925	0.21776	4.1207142857142856	1	14	0.24267637372161555
GO:0010629	0.01907	5.244545454545455	3	33	0.5720228809152366
GO:0007015	0.00305	6.5931428571428565	4	35	0.6066909343040389
GO:0019887	0.15906	5.769	1	10	0.17334026694401108
GO:0009898	0.29392	2.8845	1	20	0.34668053388802217
GO:0031152	0.30839	2.7471428571428573	1	21	0.36401456058242326
GO:0010856	0.06764	14.422499999999998	1	4	0.06933610677760445
GO:0006909	0.10991	3.4963636363636366	2	33	0.5720228809152366
GO:0019900	0.25887	3.3935294117647063	1	17	0.29467845380481883
GO:0007188	0.08541	11.538	1	5	0.08667013347200554
GO:0005938	0.31853	1.7481818181818183	2	66	1.1440457618304731
GO:0031982	0.48782	1.5181578947368422	1	38	0.6586930143872421
GO:0030250	0.03492	28.844999999999995	1	2	0.034668053388802224
GO:0031252	0.00863	6.9228000000000005	3	25	0.4333506673600277
GO:0000281	6e-05	7.692	6	45	0.7800312012480499
GO:0000902	0.00316	10.180588235294119	3	17	0.29467845380481883
GO:0051897	0.03064	7.211249999999999	2	16	0.2773444271104178
GO:0043130	0.63924	0.9946551724137931	1	58	1.0053735482752644
GO:0046847	3e-05	23.076	4	10	0.17334026694401108
GO:0007265	0.1897	4.807499999999999	1	12	0.20800832033281333
GO:0005811	0.59493	1.1311764705882352	1	51	0.8840353614144566
GO:0140220	0.19087	4.807499999999999	1	12	0.20800832033281333
GO:0004860	0.08488	11.538	1	5	0.08667013347200554
GO:0006935	0.20363	4.437692307692307	1	13	0.22534234702721442
GO:0070371	0.1445	6.41	1	9	0.15600624024961
GO:0031005	0.11581	8.241428571428571	1	7	0.12133818686080777
GO:0005768	0.24177	1.5914482758620692	4	145	2.5134338706881607
GO:0010008	0.02696	2.9433673469387758	5	98	1.6987346160513086
GO:0030336	0.24393	3.6056249999999994	1	16	0.2773444271104178
GO:0044291	0.08282	11.538	1	5	0.08667013347200554
GO:0005923	0.13257	7.211249999999999	1	8	0.1386722135552089
GO:0030659	0.50212	1.44225	1	40	0.6933610677760443
GO:0055038	0.32188	2.622272727272727	1	22	0.3813485872768244
GO:0007264	0.44794	1.6967647058823532	1	34	0.5893569076096377
GO:0030866	0.015	10.489090909090908	2	11	0.1906742936384122
GO:0016363	0.28285	3.0363157894736843	1	19	0.3293465071936211
GO:0030036	0.52965	1.341627906976744	1	43	0.7453631478592477
GO:0051726	0.23589	2.1769811320754715	2	53	0.9187034148032588
GO:0042127	0.04626	5.769	2	20	0.34668053388802217
GO:0051117	0.02401	8.241428571428571	2	14	0.24267637372161555
GO:0031625	0.22063	2.2623529411764705	2	51	0.8840353614144566
GO:0017157	0.16073	5.769	1	10	0.17334026694401108
GO:0005925	0.15232	2.8845	2	40	0.6933610677760443
GO:0044877	0.05864	3.393529411764706	3	51	0.8840353614144566
GO:0008283	0.32062	2.622272727272727	1	22	0.3813485872768244
GO:0070374	0.2437	3.6056249999999994	1	16	0.2773444271104178
GO:0005911	0.02494	4.8075	3	36	0.62402496099844
GO:0098978	0.22281	2.2623529411764705	2	51	0.8840353614144566
GO:0005516	0.30149	1.8314285714285714	2	63	1.0920436817472698
GO:0001934	0.34329	2.4037499999999996	1	24	0.41601664066562666
GO:0000139	0.0024	2.8701492537313436	10	201	3.4841393655746224
GO:0030496	0.17676	2.622272727272727	2	44	0.7626971745536488
GO:0005246	0.05188	19.229999999999997	1	3	0.05200208008320333
GO:0007249	0.09996	9.614999999999998	1	6	0.10400416016640666
GO:0051285	0.08379	11.538	1	5	0.08667013347200554
GO:0000935	0.06672	14.422499999999998	1	4	0.06933610677760445
GO:0008285	0.42082	1.860967741935484	1	31	0.5373548275264344
GO:0005743	0.80433	0.670813953488372	2	172	2.981452591436991
GO:0016887	0.90982	0.5082819383259912	2	227	3.934824059629052
GO:0033617	0.18897	4.807499999999999	1	12	0.20800832033281333
GO:0034551	0.08393	11.538	1	5	0.08667013347200554
GO:0032981	0.29776	2.8845	1	20	0.34668053388802217
GO:0032979	0.05046	19.229999999999997	1	3	0.05200208008320333
GO:0006950	0.28124	3.0363157894736843	1	19	0.3293465071936211
GO:0009536	0.86376	0.5827272727272726	2	198	3.43213728549142
GO:0009507	0.86151	0.6900717703349283	5	418	7.245623158259663
GO:0051131	0.14653	6.41	1	9	0.15600624024961
GO:0008320	0.21798	4.1207142857142856	1	14	0.24267637372161555
GO:0003950	0.03048	7.211249999999999	2	16	0.2773444271104178
GO:0045892	0.33619	1.672173913043478	2	69	1.1960478419136766
GO:0003676	0.90508	0.5693092105263158	3	304	5.269544115097937
GO:0016757	0.27505	1.508235294117647	4	153	2.65210608424337
GO:0003723	0.98294	0.40436915887850466	3	428	7.418963425203675
GO:0003714	0.15207	2.8845	2	40	0.6933610677760443
GO:0008270	0.45339	1.0910638297872342	8	423	7.332293291731669
GO:0016567	0.29358	1.4605063291139242	4	158	2.738776217715375
GO:0004222	0.54834	1.282	1	45	0.7800312012480499
GO:0019899	0.58493	1.1538000000000002	1	50	0.8667013347200554
GO:0042531	0.06805	14.422499999999998	1	4	0.06933610677760445
GO:0000122	0.10393	2.2188461538461537	4	104	1.8027387762177154
