Length	GC	MaxEnt5	MaxEnt3	Group
4685	0.2975453575240128	8.85	8.93	Constitutive
15543	0.337322267258573	9.35	8.01	Constitutive
1956	0.42535787321063395	8.88	8.87	Constitutive
1514	0.5250990752972259	9.45	5.74	Constitutive
141	0.5815602836879432	5.5	7.12	Constitutive
453	0.271523178807947	6.1	11.65	Constitutive
710	0.5225352112676056	10.03	5.0	Constitutive
27830	0.36360043118936397	9.45	7.97	Constitutive
1673	0.7226539151225344	10.03	-3.1	Constitutive
1320	0.4696969696969697	7.53	10.01	Constitutive
1756	0.4037585421412301	5.77	11.09	Constitutive
162	0.5925925925925926	2.97	10.9	Constitutive
25932	0.5726129878142835	8.7	9.58	Constitutive
415	0.43855421686746987	10.28	9.31	Constitutive
5239	0.482534834892155	8.41	9.44	Constitutive
987	0.3546099290780142	9.72	8.34	Constitutive
102	0.6176470588235294	8.7	10.66	Constitutive
6541	0.39458798348876317	11.0	12.43	Constitutive
649	0.39599383667180277	9.79	9.53	Constitutive
3463	0.374819520646838	10.77	6.44	Constitutive
375	0.5173333333333333	10.17	4.37	Constitutive
389	0.4987146529562982	8.56	6.27	Constitutive
36517	0.4485308212613303	9.06	10.18	Constitutive
285	0.3649122807017544	8.4	8.1	Constitutive
1161	0.4427217915590009	11.0	6.13	Constitutive
2408	0.4846345514950166	7.13	8.53	Constitutive
9801	0.33323130292827263	7.4	7.37	Constitutive
770	0.261038961038961	7.66	9.42	Constitutive
579	0.37823834196891193	7.3	5.93	Constitutive
152	0.4473684210526316	11.01	11.18	Constitutive
3581	0.4208321697849763	7.81	7.66	Constitutive
521	0.345489443378119	8.59	7.86	Constitutive
199	0.5125628140703518	9.25	8.55	Constitutive
