class,intron_length,GC_intron,PPT_density,T_block_length,SRSF3_count,SRSF3_density,PCBP2_count,PCBP2_density,CpG_count,CpG_density
1,257,0.36964980544747084,0.26666666666666666,6,1,3.8910505836575875,0,0,2,7.782101167315175
1,1838,0.382480957562568,0.26666666666666666,8,14,7.616974972796518,7,3.808487486398259,21,11.425462459194776
1,1195,0.5213389121338912,0.26666666666666666,5,4,3.3472803347280333,18,15.06276150627615,21,17.573221757322173
1,604,0.5645695364238411,0.26666666666666666,3,3,4.966887417218543,15,24.834437086092716,25,41.390728476821195
1,2137,0.33270940570893776,0.4,10,10,4.679457182966776,7,3.275620028076743,11,5.147402901263454
1,480,0.5854166666666667,0.6,5,4,8.333333333333334,17,35.41666666666667,11,22.916666666666668
1,471,0.5605095541401274,0.5333333333333333,4,5,10.615711252653929,15,31.847133757961785,11,23.35456475583864
1,1084,0.5654981549815498,0.6,5,7,6.457564575645756,34,31.36531365313653,22,20.29520295202952
1,562,0.5320284697508897,0.4666666666666667,4,4,7.117437722419928,11,19.572953736654803,11,19.572953736654803
1,1848,0.40476190476190477,0.4666666666666667,10,9,4.87012987012987,21,11.363636363636363,12,6.4935064935064934
1,1059,0.4145420207743154,0.4,5,6,5.6657223796034,13,12.275731822474032,9,8.498583569405099
1,1272,0.3136792452830189,0.26666666666666666,7,4,3.144654088050314,6,4.716981132075472,5,3.930817610062893
1,1173,0.41261722080136404,0.4,11,9,7.672634271099744,15,12.78772378516624,16,13.640238704177323
1,510,0.29411764705882354,0.4,5,1,1.9607843137254901,1,1.9607843137254901,5,9.803921568627452
1,443,0.5869074492099323,0.6,3,2,4.514672686230249,9,20.31602708803612,8,18.058690744920995
1,315,0.5619047619047619,0.2,4,1,3.1746031746031744,7,22.22222222222222,4,12.698412698412698
1,445,0.49887640449438203,0.4,4,2,4.49438202247191,10,22.47191011235955,5,11.235955056179774
1,622,0.49356913183279744,0.4666666666666667,3,8,12.861736334405144,17,27.331189710610932,6,9.646302250803858
