Species	TaxaID	Genome database	Genome assembly	Genome URL	ProteomeID	Source
Ostreococcus lucimarinus CCE9901	436017	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/065/GCA_000092065.1_ASM9206v1/GCA_000092065.1_ASM9206v1_genomic.fna.gz	UP000001568_436017	Uniprot
Ostreococcus tauri	70448	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/015/GCA_000214015.2_version_140606/GCA_000214015.2_version_140606_genomic.fna.gz	UP000009170_70448	Uniprot
Oxytricha trifallax	1172189	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/297/925/GCA_001297925.1_ASM129792v1/GCA_001297925.1_ASM129792v1_genomic.fna.gz	UP000006077_1172189	Uniprot
Paramecium tetraurelia	5888	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/425/GCA_000165425.1_ASM16542v1/GCA_000165425.1_ASM16542v1_genomic.fna.gz	UP000000600_5888	Uniprot
Perkinsela sp. CCAP 1560/4	1314962	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/235/845/GCA_001235845.1_ASM123584v1/GCA_001235845.1_ASM123584v1_genomic.fna.gz	UP000036983_1314962	Uniprot
Perkinsus marinus ATCC 50983	423536	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/405/GCA_000006405.1_JCVI_PMG_1.0/GCA_000006405.1_JCVI_PMG_1.0_genomic.fna.gz	UP000007800_423536	Uniprot
Phaeodactylum tricornutum CCAP 1055/1	556484	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/150/955/GCA_000150955.2_ASM15095v2/GCA_000150955.2_ASM15095v2_genomic.fna.gz	UP000000759_556484	Uniprot
Phytomonas sp. isolate Hart1	134013	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/982/615/GCA_000982615.1_AKI_PRJEB1539_v1/GCA_000982615.1_AKI_PRJEB1539_v1_genomic.fna.gz	UP000053358_134013	Uniprot
Phytophthora sojae	1094619	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/149/755/GCA_000149755.2_P.sojae_V3.0/GCA_000149755.2_P.sojae_V3.0_genomic.fna.gz	UP000002640_1094619	Uniprot
Planoprotostelium fungivorum	1890364	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/024/175/GCA_003024175.1_ASM302417v1/GCA_003024175.1_ASM302417v1_genomic.fna.gz	UP000241769_1890364	Uniprot
Plasmodiophora brassicae	37360	Genbank	Genbank_Assembly	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/833/335/GCA_003833335.1_Pldbra_eH_r1/GCA_003833335.1_Pldbra_eH_r1_genomic.fna.gz	UP000039324_37360	Uniprot
Plasmodium falciparum 3D7	36329	Genbank	Genbank_Assembly	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/002/765/GCA_000002765.2_ASM276v2/GCA_000002765.2_ASM276v2_genomic.fna.gz	UP000001450_36329	Uniprot
