cluster	type	pvalue	present_median	present_average	present_consistency	absent_median	absent_average	absent_consistency	pbc
I14_OG000781	not significant	0.97659	1	0.8181818181818182	0.8181818181818181	1.0	0.8125	0.8125	0.0072
I14_OG000782	not significant	0.92038	0.0	0.36363636363636365	0.4545454545454546	0.0	0.3125	0.3125	0.0557
I14_OG000785	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000786	not significant	0.77463	1	1.0	1.0	1.0	0.96875	1.0	0.1626
I14_OG000787	not significant	0.24198	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000788	not significant	0.76827	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000789	not significant	0.20298	1	1.0	1.0	1.0	0.75	0.75	0.3458
I14_OG000790	not significant	0.61958	1.0	0.7727272727272727	0.8181818181818181	1.0	0.5625	0.5625	0.2208
I14_OG000791	not significant	0.78366	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000792	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000793	not significant	0.97323	1	0.7272727272727273	0.7272727272727273	1.0	0.75	0.75	-0.0255
I14_OG000794	not significant	0.91715	0.5	0.5	0.5454545454545454	1.0	0.5625	0.5625	-0.0628
I14_OG000795	not significant	0.7879	1.0	0.8181818181818182	0.8181818181818181	1.0	0.6875	0.6875	0.1465
I14_OG000796	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000797	not significant	0.59441	1	1.0	1.0	1.0	0.875	0.875	0.2345
I14_OG000798	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000799	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000800	not significant	0.45674	1	0.8636363636363636	0.9090909090909091	1.0	0.625	0.625	0.268
I14_OG000801	not significant	0.89753	1	0.8181818181818182	0.8181818181818181	1.0	0.75	0.75	0.0806
I14_OG000802	not significant	0.97157	0.0	0.45454545454545453	0.4545454545454546	0.0	0.4375	0.4375	0.0169
I14_OG000803	not significant	0.29628	1.0	0.7272727272727273	0.7272727272727273	0.0	0.40625	0.4375	0.3224
I14_OG000806	not significant	0.78901	1.0	0.7727272727272727	0.8181818181818181	1.0	0.625	0.625	0.1598
I14_OG000809	not significant	1.0	1	1.0	1.0	1.0	1.0	1.0	0
I14_OG000810	not significant	0.78248	1	1.0	1.0	1.0	0.9375	0.9375	0.1626
I14_OG000812	not significant	0.11093	1	1.0	1.0	1.0	0.6875	0.6875	0.3953
